OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel
3,78,78,85
4,0,0,85
5,-9,-12,80
6,4,6,70
7,4,12,70
2,69,103,100
3,78,78,85
4,-4,-4,85
5,-6,-8,80
6,3,5,70
7,5,15,70
2,69,103,100
3,78,78,85
4,-18,-21,85
5,-11,-15,80
6,0,0,70
7,7,21,70
2,69,103,100
3,78,78,85
4,-12,-14,85
5,-11,-15,80
6,-3,-5,70
7,7,21,70
2,70,105,100
3,79,79,85
4,-18,-21,85
5,-16,-22,80
6,0,0,70
7,1,3,70
2,71,106,100
3,80,80,85
4,-14,-16,85
5,-14,-19,80
6,-2,-3,70
7,7,21,70
2,72,108,100
3,81,81,85
4,-10,-12,85
5,-9,-12,80
6,-1,-1,70
7,5,15,70
2,73,109,100
3,81,81,85
4,-12,-14,85
5,-14,-19,80
6,0,0,70
7,6,18,70
2,73,109,100
3,82,82,85
4,-17,-20,85
5,-11,-15,80
6,-1,-1,70
7,4,12,70
2,72,108,100
3,81,81,85
4,-14,-16,85
5,-17,-23,80
6,-7,-11,70
7,3,9,70
2,72,108,100
3,81,81,85
4,-25,-30,85
5,-15,-21,80
6,-4,-6,70
7,3,9,70
2,73,109,100
3,82,82,85
4,-14,-16,85
5,-7,-9,80
6,0,0,70
7,5,15,70
2,72,108,100
3,81,81,85
4,-22,-26,85
5,-7,-9,80
6,1,1,70
7,6,18,70
2,72,108,100
3,82,82,85
4,-13,-15,85
5,-16,-22,80
6,0,0,70
7,1,3,70
2,72,108,100
3,82,82,85
4,-18,-21,85
5,-16,-22,80
6,0,0,70
7,6,18,70
2,73,109,100
3,82,82,85
4,-18,-21,85
5,-16,-22,80
6,1,1,70
7,3,9,70
2,73,109,100
3,82,82,85
4,-19,-22,85
5,-16,-22,80
6,-2,-3,70
7,5,15,70
2,73,109,100
3,82,82,85
4,-19,-22,85
5,-19,-26,80
6,-3,-5,70
7,6,18,70
2,72,108,100
3,81,81,85
4,-25,-30,85
5,-20,-28,80
6,0,0,70
7,4,12,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-12,-25,80
6,-5,-12,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-20,-42,80
6,-2,-5,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-18,-37,80
6,-2,-5,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-20,-36,85
5,-21,-44,80
6,3,7,70
7,3,13,70
2,73,164,100
3,82,123,85
4,-16,-28,85
5,-20,-42,80
6,-3,-7,70
7,6,27,70
2,73,164,100
3,82,123,85
4,-24,-43,85
5,-22,-46,80
6,-2,-5,70
7,3,13,70
2,73,164,100
3,82,123,85
4,-22,-39,85
5,-19,-39,80
6,-4,-10,70
7,4,18,70
2,73,164,100
3,82,123,85
4,-16,-28,85
5,-14,-29,80
6,-2,-5,70
7,6,27,70
2,73,164,100
3,81,121,85
4,-20,-36,85
5,-17,-35,80
6,-5,-12,70
7,3,13,70
2,73,164,100
3,82,123,85
4,-22,-39,85
5,-22,-46,80
6,1,2,70
7,9,40,70
2,73,164,100
3,82,123,85
4,-22,-39,85
5,-19,-39,80
6,-1,-2,70
7,7,31,70
2,73,164,100
3,82,123,85
4,-18,-32,85
5,-19,-39,80
6,1,2,70
7,4,18,70
2,73,164,100
3,81,121,85
4,-18,-32,85
5,-14,-29,80
6,-2,-5,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-18,-37,80
6,-4,-10,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-30,-54,85
5,-16,-33,80
6,-1,-2,70
7,6,27,70
2,72,162,100
3,81,121,85
4,-23,-41,85
5,-16,-33,80
6,2,5,70
7,7,31,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-12,-25,80
6,-3,-7,70
7,8,36,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-20,-42,80
6,-1,-2,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-17,-30,85
5,-17,-35,80
6,-1,-2,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-25,-45,85
5,-15,-31,80
6,-3,-7,70
7,6,27,70
2,72,162,100
3,81,121,85
4,-25,-45,85
5,-18,-37,80
6,-5,-12,70
7,6,27,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-20,-42,80
6,-2,-5,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-16,-28,85
5,-20,-42,80
6,-2,-5,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-20,-42,80
6,1,2,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-25,-45,85
5,-23,-48,80
6,-3,-7,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-19,-39,80
6,2,5,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-14,-29,80
6,-7,-17,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-21,-44,80
6,-1,-2,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-20,-36,85
5,-16,-33,80
6,0,0,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-16,-28,85
5,-15,-31,80
6,-3,-7,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-20,-36,85
5,-20,-42,80
6,-4,-10,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-23,-41,85
5,-16,-33,80
6,-1,-2,70
7,7,31,70
2,72,162,100
3,81,121,85
4,-22,-39,85
5,-17,-35,80
6,0,0,70
7,7,31,70
2,72,162,100
3,81,121,85
4,-26,-46,85
5,-20,-42,80
6,-3,-7,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-23,-41,85
5,-19,-39,80
6,2,5,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-14,-29,80
6,0,0,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-14,-25,85
5,-14,-29,80
6,-6,-15,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-20,-36,85
5,-22,-46,80
6,-1,-2,70
7,6,27,70
2,72,162,100
3,81,121,85
4,-14,-25,85
5,-14,-29,80
6,-1,-2,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-18,-37,80
6,-4,-10,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-25,-45,85
5,-18,-37,80
6,-4,-10,70
7,3,13,70
2,71,159,100
3,80,120,85
4,-14,-25,85
5,-15,-31,80
6,-3,-7,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-22,-39,85
5,-18,-37,80
6,-3,-7,70
7,0,0,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-15,-31,80
6,-4,-10,70
7,6,27,70
2,71,159,100
3,80,120,85
4,-24,-43,85
5,-24,-50,80
6,-3,-7,70
7,7,31,70
2,71,159,100
3,80,120,85
4,-21,-37,85
5,-19,-39,80
6,-2,-5,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-24,-43,85
5,-21,-44,80
6,-2,-5,70
7,5,22,70
2,72,162,100
3,80,120,85
4,-19,-34,85
5,-19,-39,80
6,-1,-2,70
7,7,31,70
2,72,162,100
3,81,121,85
4,-17,-30,85
5,-13,-27,80
6,4,10,70
7,6,27,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-17,-35,80
6,-3,-7,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,21,44,80
6,0,0,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-21,-44,80
6,-1,-2,70
7,7,31,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-17,-35,80
6,-2,-5,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-15,-27,85
5,-19,-39,80
6,-3,-7,70
7,8,36,70
2,72,162,100
3,81,121,85
4,-14,-25,85
5,-15,-31,80
6,2,5,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-16,-33,80
6,-2,-5,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-15,-27,85
5,-13,-27,80
6,-5,-12,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-22,-39,85
5,-22,-46,80
6,-2,-5,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-24,-43,85
5,-13,-27,80
6,2,5,70
7,8,36,70
2,72,162,100
3,81,121,85
4,-23,-41,85
5,-17,-35,80
6,2,5,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-26,-46,85
5,-18,-37,80
6,-1,-2,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-22,-39,85
5,-12,-25,80
6,1,2,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-1,-2,80
6,3,7,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-15,-31,80
6,-1,-2,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-17,-35,80
6,-3,-7,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-18,-32,85
5,-17,-35,80
6,1,2,70
7,3,13,70
2,72,162,100
3,81,121,85
4,-13,-23,85
5,-15,-31,80
6,1,2,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-15,-27,85
5,-15,-31,80
6,-3,-7,70
7,2,9,70
2,72,162,100
3,81,121,85
4,-14,-25,85
5,-11,-23,80
6,0,0,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-21,-37,85
5,-16,-33,80
6,0,0,70
7,4,18,70
2,72,162,100
3,81,121,85
4,-26,-46,85
5,-18,-37,80
6,0,0,70
7,5,22,70
2,72,162,100
3,81,121,85
4,-19,-34,85
5,-21,-44,80
6,-3,-7,70
7,0,0,70
